80 *A Disaggregate_First,.EXCEL_FIRST,M193RWGT@WDI,M122RWGT@WDI,M124RWGT@WDI,M156RWGT@WDI,M228RWGT@WDI,M935RWGT@WDI,M128RWGT@WDI,M939RWGT@WDI,M172RWGT@WDI,M132RWGT@WDI,M134RWGT@WDI,M174RWGT@WDI,M944RWGT@WDI,M178RWGT@WDI,M436RWGT@WDI,M136RWGT@WDI,M158RWGT@WDI,M542RWGT@WDI,M137RWGT@WDI,M273RWGT@WDI,M138RWGT@WDI,M196RWGT@WDI,M142RWGT@WDI,M964RWGT@WDI,M182RWGT@WDI,M936RWGT@WDI,M961RWGT@WDI,M184RWGT@WDI,M144RWGT@WDI,M146RWGT@WDI,M186RWGT@WDI,M112RWGT@WDI,M111RWGT@WDI,M223RWGT@WDI,M922RWGT@WDI,M534RWGT@WDI,M924RWGT@WDI,M536RWGT@WDI,M564RWGT@WDI,M578RWGT@WDI,M199RWGT@WDI,M694RWGT@WDI,M566RWGT@WDI,M548RWGT@WDI,M213RWGT@WDI,M926RWGT@WDI,M001RWGT@WDI,M009RWGT@WDI,M997RWGT@WDI,M025RWGT@WDI,MALSRWGT@WDI,M506RWGT@WDI,MEASRWGT@WDI,MECSRWGT@WDI,MMEARWGT@WDI,
01,01," 38,525 "," 17,346 "," 8,174 "," 223,711 "," 3,318 "," 18,302 "," 2,068 "," 8,222 "," 9,857 "," 50,396 "," 74,450 ", 379 ," 7,426 ", 516 ," 1,096 "," 24,630 "," 21,950 "," 10,492 ",#N/A,#N/A," 3,834 ",#N/A,#N/A," 47,909 "," 2,498 "," 10,929 "," 2,837 "," 13,698 "," 12,000 "," 10,534 "," 7,486 "," 19,390 "," 2,185,270 "," 161,808 "," 1,433,600 "," 312,371 "," 1,424,980 ",#N/A," 4,520 "," 3,724 "," 105,393 ",#N/A,#N/A," 1,531 ",#N/A," 177,465 "," 4,390 "," 1,204,491 "," 9,857 "," 9,857 ",#N/A," 2,714 ",#N/A," 7,958 ",#N/A,
02,02," 40,628 "," 17,626 "," 8,363 "," 233,620 "," 3,338 "," 17,042 "," 1,867 "," 9,330 "," 9,664 "," 50,036 "," 73,950 ", 327 ," 7,319 ", 426 ," 1,107 "," 23,060 "," 21,900 "," 10,784 ",#N/A,#N/A," 3,685 ",#N/A,#N/A," 46,560 "," 2,585 "," 10,679 "," 3,078 "," 13,781 "," 12,002 "," 9,732 "," 7,169 "," 18,520 "," 2,202,131 "," 167,731 "," 1,510,200 "," 333,228 "," 1,507,817 ",#N/A," 4,573 "," 3,908 "," 103,717 ", 44 ,#N/A,#N/A,#N/A," 193,141 "," 4,801 "," 1,217,876 "," 9,767 "," 9,664 ",#N/A," 2,762 ",#N/A," 9,664 ",#N/A,
03,03," 41,314 "," 17,852 "," 8,306 "," 239,233 "," 3,575 "," 17,069 "," 1,888 "," 9,283 "," 10,047 "," 46,835 "," 73,951 ", 456 ," 7,568 ", 398 ," 1,125 "," 22,457 "," 22,600 "," 11,057 ",#N/A,#N/A," 4,026 ",#N/A,#N/A," 47,394 "," 2,442 "," 10,117 "," 3,274 "," 14,156 "," 12,829 "," 9,341 "," 8,615 "," 18,870 "," 2,267,051 "," 180,461 "," 1,668,900 "," 353,194 "," 1,647,558 ",#N/A," 4,820 "," 3,987 "," 106,538 ", 39 , 1 ," 1,224 ",#N/A," 225,287 ",#N/A," 1,253,142 "," 10,117 "," 10,047 ",#N/A," 2,886 ",#N/A," 9,283 ",#N/A,
04,04," 42,300 "," 19,027 "," 8,725 "," 254,605 "," 3,898 "," 16,214 "," 2,030 "," 9,567 "," 10,105 "," 45,121 "," 77,620 ", 588 ," 8,270 ", 399 ," 1,190 "," 23,270 "," 22,200 "," 10,641 ",#N/A,#N/A," 4,331 ",#N/A,#N/A," 47,847 "," 2,675 "," 9,675 "," 3,462 "," 14,117 "," 13,120 "," 9,313 "," 9,334 "," 20,570 "," 2,429,484 "," 202,533 "," 1,801,600 "," 381,241 "," 1,828,548 ",#N/A," 4,796 "," 4,085 "," 108,503 ", 57 , 1 ," 1,224 ",#N/A," 233,961 "," 4,796 "," 1,342,045 "," 10,105 "," 9,675 ",#N/A," 2,846 ",#N/A," 9,451 "," 1,945 ",
05,05," 46,164 "," 17,060 "," 9,157 "," 338,661 "," 5,783 "," 14,385 ",#N/A," 10,311 "," 9,706 "," 41,898 "," 88,022 ", 613 ," 8,997 ", 303 ," 1,149 "," 21,045 "," 21,900 "," 10,108 ", 392 ," 54,387 ",#N/A,#N/A," 2,092 "," 46,060 "," 2,422 "," 9,326 "," 3,245 "," 11,586 "," 13,120 "," 11,394 "," 8,939 "," 22,110 "," 2,717,513 "," 221,211 "," 1,801,601 "," 407,398 "," 1,934,612 "," 4,698 "," 4,796 "," 4,037 "," 108,513 ", 77 ,#N/A," 1,178 ",#N/A," 223,980 "," 4,796 "," 1,528,087 "," 10,311 "," 10,009 ",#N/A," 2,846 "," 4,368 "," 9,706 "," 2,082 ",
06,06," 46,486 "," 19,526 "," 9,835 "," 352,069 "," 3,660 "," 16,306 ",#N/A," 10,152 "," 11,060 "," 42,124 "," 89,690 ", 661 ," 9,083 ", 166 ," 1,135 "," 21,852 "," 23,014 "," 10,554 ", 441 ," 54,387 ",#N/A,#N/A,#N/A," 42,651 "," 2,763 "," 9,703 "," 3,373 "," 11,540 "," 11,500 "," 11,695 "," 9,544 "," 22,180 "," 2,839,124 "," 232,300 "," 1,950,000 "," 439,596 "," 2,055,716 "," 4,698 "," 5,907 ",#N/A," 108,513 ", 77 ,#N/A," 1,572 "," 12,628 "," 240,810 "," 4,963 "," 1,595,597 "," 11,500 "," 10,606 "," 1,429 "," 3,362 "," 6,958 "," 10,152 "," 1,752 ",
07,07," 60,126 "," 18,996 "," 9,357 "," 353,227 "," 3,957 "," 16,972 ",#N/A," 8,153 "," 10,434 "," 42,435 "," 91,013 ", 835 ," 8,323 ", 129 ," 1,175 "," 22,340 "," 23,145 "," 10,927 ", 287 ," 75,600 ",#N/A,#N/A,#N/A," 43,548 "," 2,585 "," 9,331 "," 3,603 "," 11,064 "," 11,500 "," 16,736 "," 9,680 "," 21,200 "," 2,820,061 "," 257,400 "," 2,090,337 "," 480,993 "," 2,211,246 ",#N/A," 5,907 ",#N/A," 108,513 ", 77 ,#N/A," 1,355 "," 12,871 "," 240,810 "," 7,379 "," 1,586,644 "," 11,064 "," 9,896 ",#N/A," 5,907 ",#N/A," 10,404 "," 1,914 ",
08,08," 61,019 "," 18,710 "," 7,882 "," 358,154 "," 4,296 "," 15,961 ",#N/A," 5,683 "," 10,777 "," 41,530 "," 91,178 ", 786 ," 7,786 ", 103 ," 1,055 "," 19,918 "," 23,032 "," 11,566 ", 291 ," 71,136 ",#N/A,#N/A,#N/A," 39,200 "," 2,550 "," 9,004 "," 3,520 "," 10,224 "," 11,500 "," 16,227 "," 10,104 "," 12,512 "," 2,788,230 "," 267,700 "," 2,400,000 "," 521,371 "," 2,511,804 "," 4,390 "," 6,187 "," 3,161 "," 106,014 ",#N/A,#N/A," 1,350 "," 12,871 "," 257,006 "," 4,532 "," 1,573,192 "," 10,777 "," 9,614 "," 1,973 "," 3,529 "," 6,326 "," 10,104 "," 1,973 ",
09,09," 62,083 "," 20,202 "," 5,472 "," 258,280 "," 4,032 "," 11,249 ",#N/A," 5,780 "," 8,872 "," 26,482 "," 93,946 ", 538 , 447 , 79 ," 1,055 "," 13,569 "," 22,100 "," 9,273 ", 189 ,#N/A,#N/A,#N/A,#N/A," 29,940 ", 872 ," 6,465 "," 2,668 "," 7,348 ",#N/A," 12,460 "," 9,681 ",#N/A," 2,431,181 "," 267,700 "," 1,865,305 "," 551,448 "," 2,523,917 ",#N/A," 6,187 "," 3,161 "," 113,342 ",#N/A,#N/A," 1,384 "," 12,025 "," 196,188 ",#N/A," 1,344,731 "," 7,348 "," 6,907 ",#N/A,#N/A,#N/A," 7,465 "," 1,911 ",
10,10," 64,172 "," 23,104 "," 5,439 "," 322,741 "," 4,032 "," 13,592 ",#N/A," 6,261 "," 9,760 "," 22,840 "," 105,794 ", 538 ," 1,000 ", 92 ," 1,062 "," 12,037 "," 20,432 "," 9,452 ", 189 ,#N/A,#N/A,#N/A,#N/A," 34,266 "," 1,932 "," 7,669 "," 3,283 "," 7,844 ",#N/A," 8,725 "," 11,030 ",#N/A," 2,468,738 "," 267,700 "," 2,011,308 "," 600,548 "," 2,451,185 ",#N/A," 6,187 "," 3,161 "," 113,342 ",#N/A,#N/A," 1,384 "," 12,025 "," 218,091 ",#N/A," 1,395,740 "," 7,844 "," 7,757 ",#N/A," 6,187 ",#N/A," 7,844 "," 1,911 ",
